Station,Code,Lat,Lon,Street,Number,Postal Code,City,Country
s-Hertogenbosch,ht,51.69048,5.29362,Stationspasserelle,10,5211 AZ,'s-Hertogenbosch,Netherlands
s-Hertogenbosch Oost,hto,51.70055389,5.318333149,Zandzuigerstraat,101,5231 XW,'s-Hertogenbosch,Netherlands
t Harde,hde,52.4091682,5.893611,Eperweg,123,8084 HD,'t Harde,Netherlands
Aalten,atn,51.92132652,6.578627228999999,Stationsstraat,38,7122 AT,Aalten,Netherlands
Abcoude,ac,52.2785,4.977,Spoorlaan,??,1391,Abcoude,Netherlands
Akkrum,akm,53.04639053,5.84361124,Alde Rykswei,??,8491,Akkrum,Netherlands
Alkmaar,amr,52.63777924,4.739722252,Stationsweg,43B,1815 CB,Alkmaar,Netherlands
Alkmaar Noord,amrn,52.64389038,4.764166832,Drechterwaard,102-104,1824 DX,Alkmaar,Netherlands
Almelo,aml,52.35805511,6.653888702000001,Parallelweg,50,7604 TX,Almelo,Netherlands
Almelo de Riet,amri,52.34194565,6.666666508,Rietstraat,226,7606 BW,Almelo,Netherlands
Almere Buiten,almb,52.39416504,5.278055668,Keerkringplein,48,1334 BS,Almere,Netherlands
Almere Centrum,alm,52.375029999999995,5.21764,Busplein,40,1315 KV,Almere,Netherlands
Almere Muziekwijk,almm,52.36750031,5.190277576000001,Chopinpad,??,1323,Almere,Netherlands
Almere Oostvaarders,almo,52.40333176,5.300555706,Insulindepad,??,1335,Almere,Netherlands
Almere Parkwijk,almp,52.37666702,5.244722366,Spoorbaanpad,95,1326 CN,Almere,Netherlands
Almere Poort,ampo,52.342778,5.151944,??,??,1362,Almere,Netherlands
Alphen a/d Rijn,apn,52.12444305,4.6577777860000005,Stationsplein,10,2405 BK,Alphen aan Den Rijn,Netherlands
Amersfoort Centraal,amf,52.1538887,5.370555401,Stationsplein,147,3818 LE,Amersfoort,Netherlands
Amersfoort Schothorst,amfs,52.17482214,5.403888702000001,Zielhorsterweg,65,3813 ZX,Amersfoort,Netherlands
Amersfoort Vathorst,avat,52.19277954,5.4338889120000005,Laakboulevard,??,3829,Hooglanderveen,Netherlands
Amsterdam Amstel,asa,52.34666824,4.917778015,Julianaplein,1A,1097 DN,Amsterdam,Netherlands
Amsterdam Bijlmer ArenA,asb,52.31222153,4.946944237,ArenA Boulevard,618,1102,Amsterdam Zuid-Oost,Netherlands
Amsterdam Centraal,asd,52.37888718,4.900277615,Stationsplein,2,1012,Amsterdam,Netherlands
Amsterdam Holendrecht,ashd,52.29844,4.95972,Meibergdreef,2,1105 AX,Amsterdam Zuid-Oost,Netherlands
Amsterdam Lelylaan,asdl,52.35777664,4.833889008,Cornelis Lelylaan,37,1062 HD,Amsterdam,Netherlands
Amsterdam Muiderpoort,asdm,52.36055374,4.931111336,Oosterspoorplein,1,1093 JW,Amsterdam,Netherlands
Amsterdam RAI,rai,52.33722305,4.890277863000001,Ringweg Zuid,??,??,Amsterdam,Netherlands
Amsterdam Science Park,assp,52.355259999999994,4.94651,Carolina MacGillavrylaan,1882,1098,Amsterdam,Netherlands
Amsterdam Sloterdijk,ass,52.38888931,4.837777615,Orlyplein,109,1043 DT,Amsterdam,Netherlands
Amsterdam Van der Madeweg,vmw,52.330134,4.92975,Entrada,512,1115 SE,Duivendrecht,Netherlands
Amsterdam Zuid,asdz,52.33889008,4.871666431,Ringweg Zuid,??,1082,Amsterdam,Netherlands
Anna Paulowna,ana,52.86722183,4.811110973,Stationsweg,21,1761 EB,Anna Paulowna,Netherlands
Apeldoorn,apd,52.20916748,5.9702777860000005,Stationsplein,22,7311,Apeldoorn,Netherlands
Apeldoorn De Maten,apdm,52.20527649,6.000555515,Laan van Zonnehoeve,13,7325 AV,Apeldoorn,Netherlands
Apeldoorn Osseveld,apdo,52.21527863,6.004444599,Linie,542,7325 DZ,Apeldoorn,Netherlands
Appingedam,apg,53.3258135,6.8619577000000005,Spoorbaan,2,9901 DD,Appingedam,Netherlands
Arkel,akl,51.87194443,4.992777824,Parallelweg,??,4241,Arkel,Netherlands
Arnemuiden,arn,51.50166702,3.669166565,Singel,??,4341,Arnemuiden,Netherlands
Arnhem Centraal,ah,51.98500061,5.899166584,Renssenbrug,??,6811,Arnhem,Netherlands
Arnhem Presikhaaf,ahpr,51.98805618,5.943888664,Eleonorastraat,13,6824 EX,Arnhem,Netherlands
Arnhem Velperpoort,ahp,51.98527908,5.919444561000001,Sonsbeeksingel,153-155,6822 BM,Arnhem,Netherlands
Arnhem Zuid,ahz,51.95500183,5.851944447,Viaduct Schuytgraaf,??,??,Arnhem,Netherlands
Assen,asn,52.99166489,6.5708332060000005,Stationsplein,2,9401 LB,Assen,Netherlands
Baarn,brn,52.20833206,5.280833244,Stationsplein,66A,3743 KM,Baarn,Netherlands
Bad Nieuweschans,nsch,53.1844,7.19937,Stationsstraat,27,9693 AA,Bad Nieuweschans,Netherlands
Baflo,bf,53.36089690000001,6.5185581,Stationsweg,2,9953 RG,Baflo,Netherlands
Barendrecht,brd,51.85472107,4.553333282,Zuideinde,??,2991,Barendrecht,Netherlands
Barneveld Centrum,bnc,52.13999939,5.590277672000001,Stationsplein,4,3771 ES,Barneveld,Netherlands
Barneveld Noord,bnn,52.16138839999999,5.598055362999999,Spoorlijnpad,??,3771,Barneveld,Netherlands
Barneveld Zuid,bnz,52.128853,5.60246,Oud Vellerseweg,10,3772 PA,Barneveld,Netherlands
Bedum,bdm,53.30688570000001,6.5930539999999995,Parallelweg,??,9781,Bedum,Netherlands
Beek-Elsloo,bk,50.94749832,5.78666687,Aan de Drie Heren,4,6191 BH,Beek,Netherlands
Beesd,bsd,51.89944458,5.194444656,Stationsweg,4,4153 RD,Beesd,Netherlands
Beilen,bl,52.85472107,6.521111012,Stationslaan,11,9411 PS,Beilen,Netherlands
Bergen op Zoom,bgn,51.49388885,4.296111107,Parallelweg,56-57,4621 JS,Bergen op Zoom,Netherlands
Best,bet,51.50999832,5.389166832000001,Stationsstraat,1,5683 BA,Best,Netherlands
Beverwijk,bv,52.47833252,4.656666756,A22,??,1948,Beverwijk,Netherlands
Bilthoven,bhv,52.13000107,5.203888893,Spoorlaan,3A,3721 PA,Bilthoven,Netherlands
Blerick,br,51.37250137,6.15500021,Kazernestraat,3,5928 NL,Venlo,Netherlands
Bloemendaal,bll,52.40416718,4.627500057,Zuider Stationsweg,20,2061 HE,Bloemendaal,Netherlands
Bodegraven,bdg,52.08139038,4.746110916,Stationsplein,5,2411 EH,Bodegraven,Netherlands
Borne,bn,52.29888916,6.748055458,Ruwerstraat,130,7621 SV,Borne,Netherlands
Boskoop,bsk,52.07777786,4.646944523,Parklaan,8-10,2771 GB,Boskoop,Netherlands
Boven-Hardinxveld,bhdv,51.832221999999994,4.878056,Parallelweg,166,3371 GH,Hardinxveld-Giessendam,Netherlands
Bovenkarspel Flora,bkf,52.69610977,5.252777576000001,Broekerhavenweg,75,1611 CA,Bovenkarspel,Netherlands
Bovenkarspel-Grootebroek,bkg,52.69499969,5.23777771,Middenweg,14,1611 KP,Bovenkarspel,Netherlands
Boxmeer,bmr,51.64452177,5.939033031,Stationsweg,1,5831 CR,Boxmeer,Netherlands
Boxtel,btl,51.58433,5.31912,Traverse,??,5281,Boxtel,Netherlands
Breda,bd,51.59555435,4.78000021,Centraal Busstation,??,4815,Breda,Netherlands
Breda-Prinsenbeek,bdpb,51.60638809,4.720833302,Moskespad,??,4822,Breda,Netherlands
Breukelen,bkl,52.171490000000006,4.9906,De Corridor,5,3621 ZA,Breukelen,Netherlands
Brummen,bmn,52.09111023,6.146944522999999,Stationsweg,1,6971 BX,Brummen,Netherlands
Buitenpost,bp,53.2564547,6.1446496,Stationsplein,2,9285 VW,Buitenpost,Netherlands
Bunde,bde,50.89694595,5.736666679,Prinses Wilhelminaweg,27,6241 EV,Bunde,Netherlands
Bunnik,bnk,52.06305695,5.194444656,Groeneweg,150B,3981 CP,Bunnik,Netherlands
Bussum Zuid,bsmz,52.26583481,5.16305542,Struiheiweg,??,1406,Bussum,Netherlands
Capelle Schollevaar,cps,51.95416641,4.584166527,Stationsplein,1B,2907 MJ,Capelle aan Den IJssel,Netherlands
Castricum,cas,52.54583359,4.658611298,Stationsweg,6,1901 AA,Castricum,Netherlands
Chevremont,cvm,50.87611008,6.059722423999999,Schoutstraat,73,6463 EE,Kerkrade,Netherlands
Coevorden,co,52.66361237,6.735555649,Stationsstraat,16,7741 EK,Coevorden,Netherlands
Cuijk,ck,51.72668259,5.874295235,Stationsplein,2-3,5431 CE,Cuijk,Netherlands
Culemborg,cl,51.94666672,5.226944447,Parallelweg Oost,19,4103 NC,Culemborg,Netherlands
Daarlerveen,da,52.4407702,6.5759947,Grote Veenweg,2-4,7687 AV,Daarlerveen,Netherlands
Dalen,dln,52.69416809,6.758055687000001,Kymmelskampen,3-4,7751 GN,Dalen,Netherlands
Dalfsen,dl,52.49833298,6.258611202000001,Heinoseweg,1,7722 JM,Dalfsen,Netherlands
De Vink,dvnk,52.14722061,4.45638895,Maria Austriapad,??,2331,Leiden,Netherlands
De Westereen,dwe,53.248169999999995,6.03463,Bûterwei,14,9271 EN,De Westereen,Netherlands
Deinum,dei,53.1888115,5.7281572,Spoorstrjitte,18,9033 WJ,Deinum,Netherlands
Delden,ddn,52.25999832,6.716111183,De Reigerstraat,78,7491 XV,Delden,Netherlands
Delft,dt,52.00666809,4.356389046,Van Leeuwenhoeksingel,42B,2611 AC,Delft,Netherlands
Delft Zuid,dtz,51.99083328,4.364722252,Kruithuispad,??,2623 CS,Delft,Netherlands
Delfzijl,dz,53.3336625,6.924079700000001,Johan van Den Kornputplein,1A,9934 EA,Delfzijl,Netherlands
Delfzijl West,dzw,53.3320834,6.9069092,Hogelandsterweg,??,??,Delfzijl,Netherlands
Den Dolder,dld,52.14027786,5.242777824,Fornheselaan,50,3734 GD,Den Dolder,Netherlands
Den Haag Centraal,gvc,52.08027649,4.3249998089999995,Rijnstraat,8,2515 XP,Den Haag,Netherlands
Den Haag HS,gv,52.06972122,4.322500229,Stationsplein,49,2515 BW,Den Haag,Netherlands
Den Haag Laan v NOI,laa,52.07860947,4.342777729,Van Alphenstraat,92,2274 ND,Voorburg,Netherlands
Den Haag Mariahoeve,gvm,52.0905571,4.36944437,Appelgaarde,??,2272 TD,Voorburg,Netherlands
Den Haag Moerwijk,gvmw,52.05389023,4.308610916,Hildebrandstraat,90,2524 VL,Den Haag,Netherlands
Den Haag Ypenburg,ypb,52.05527878,4.392222404,Ypenburgse Stationsweg,??,2496,Den Haag,Netherlands
Den Helder,hdr,52.95527649,4.761111259,Boerhaavestraat,38,1782 AB,Den Helder,Netherlands
Den Helder Zuid,hdrz,52.93249893,4.764166832,Voeetgangers/fietstunnel station Zuid,??,1785,Den Helder,Netherlands
Deurne,dn,51.45583344,5.788888931000001,Fabriekstraat,16,5753 AH,Deurne,Netherlands
Deventer,dv,52.25749969,6.160555362999999,Stationsplein,6,7411 HB,Deventer,Netherlands
Deventer Colmschate,dvc,52.25027847,6.214444637000001,Piet van Donkplein,1,7422 LW,Deventer,Netherlands
Didam,did,51.933502000000004,6.1324106,Stationslaan,5,6942 EG,Didam,Netherlands
Diemen,dmn,52.34583282,4.965555668,Martin Luther Kinglaan,24,1111,Diemen,Netherlands
Diemen Zuid,dmnz,52.33027649,4.955833435,Diemerdreef,2,1112 CK,Diemen,Netherlands
Dieren,dr,52.04499817,6.103055477000001,Noorder Parallelweg,27,6951 AA,Dieren,Netherlands
Doetinchem,dtc,51.9585962,6.2962148000000004,Stationsplein,8,7005 AK,Doetinchem,Netherlands
Doetinchem De Huet,dtch,51.95914129999999,6.259852099999999,Jan Willinkstraat,2,7006 NA,Doetinchem,Netherlands
Dordrecht,ddr,51.80722046,4.66833353,Stationsplein,1,3311 JV,Dordrecht,Netherlands
Dordrecht Stadspolders,ddrs,51.80194473,4.716666698,Dudokplein,200,3315 KH,Dordrecht,Netherlands
Dordrecht Zuid,ddzd,51.79000092,4.671389103,Randweg,??,3318,Dordrecht,Netherlands
Driebergen-Zeist,db,52.0652771,5.258611202,Stationsweg,4,3972 KA,Driebergen-Rijsenburg,Netherlands
Driehuis,drh,52.44250107,4.638055325,Van Den Vondellaan,100,1985 BD,Driehuis,Netherlands
Dronrijp,drp,53.1778086,5.634741099999999,Hatzum,13B,9035 VK,Dronryp,Netherlands
Dronten,dron,52.5344,5.72089,De Noord,??,8251,Dronten,Netherlands
Duiven,dvn,51.94333267,6.014722347,Parallelweg,32,6922 HR,Duiven,Netherlands
Duivendrecht,dvd,52.32333374,4.936388968999999,Stationsplein,1,1115 BZ,Duivendrecht,Netherlands
Echt,ec,51.10055542,5.878889084,Stationsweg,1,6101 HK,Echt,Netherlands
Ede Centrum,edc,52.04360962,5.66833353,Museumplein,7,6711 NA,Ede,Netherlands
Ede-Wageningen,ed,52.02777863,5.673055649,Klinkenbergerweg,116,6711 ML,Ede,Netherlands
Eijs-Wittem,wtm,50.823170000000005,5.92479,Wittemerweg,5,6287 AA,Eys,Netherlands
Eijsden,edn,50.77194595,5.7100000379999996,Stationsplein,7-8,6245 AE,Eijsden,Netherlands
Eindh Beukenln tot 13 dec,ehb,51.45111084,5.455833435,Achtseweg Zuid,151,5651 GW,Eindhoven,Netherlands
Eindhoven,ehv,51.44333267,5.481389046,Kennedyplein,230,5611,Eindhoven,Netherlands
Eindhoven Strijp-S,ehs,51.45111084,5.455833435,Achtseweg Zuid,151,5651 GW,Eindhoven,Netherlands
Elst,est,51.916942600000006,5.855000018999999,Oude Aamsestraat,??,6662,Elst,Netherlands
Emmen,emn,52.79000092,6.89944458,Stationsstraat,79,7811 GS,Emmen,Netherlands
Emmen Zuid,emnz,52.74886637,6.874780655,Nieuw Amsterdamsestraat,86,??,Emmen,Netherlands
Enkhuizen,ekz,52.69916534,5.286388874,Bosmankade,??,1601,Enkhuizen,Netherlands
Enschede,es,52.22249985,6.889999866,Stationsplein,33,7511 JD,Enschede,Netherlands
Enschede De Eschmarke,ese,52.22138977,6.9511113170000005,Lenteweg,20,7532 RB,Enschede,Netherlands
Enschede Drien tot 13 dec,esd,52.23749924,6.838889122,Forum,10,7521 PM,Enschede,Netherlands
Enschede Kennispark,esk,52.23749924,6.838889122,Forum,10,7521 PM,Enschede,Netherlands
Ermelo,eml,52.30166626,5.614722252000001,Van Den Berghlaan,68,3853 KR,Ermelo,Netherlands
Etten-Leur,etn,51.57500076,4.635833263,Stationsplein,2,4872 XL,Etten-Leur,Netherlands
Eygelshoven,egh,50.89055634,6.045000076,Provinciale Weg,??,6469,Kerkrade,Netherlands
Eygelshoven Markt,eghm,50.89604982,6.060247421000001,Hermanstraat,21,6471 XZ,Eygelshoven,Netherlands
Feanwalden,fwd,53.235183400000004,5.9886615,Stasjonwei,1,9269 PG,Feanwâlden,Netherlands
Franeker,fn,53.1824488,5.548309400000001,Anna Maria van Schurmansingel,59,8801 JR,Franeker,Netherlands
Gaanderen,gdr,51.93074,6.3486,Branderstraat,??,7011,Gaanderen,Netherlands
Geerdijk,gdk,52.47625,6.566739999999999,Geerdijk,60-66,7681 SE,Vroomshoop,Netherlands
Geldermalsen,gdm,51.88301,5.2712699999999995,Genteldijk,5,4191 LD,Geldermalsen,Netherlands
Geldrop,gp,51.41972351,5.550555706,Tournooiveld,14,5663 EA,Geldrop,Netherlands
Geleen Oost,gln,50.96694565,5.843055725,Stationstraat,13,6166 CB,Geleen,Netherlands
Geleen-Lutterade,lut,50.97555542,5.82472229,Westelijke Randweg,??,6162,Geleen,Netherlands
Gilze-Rijen,gz,51.58361053,4.926111221,Parallelweg,10,5121 LD,Rijen,Netherlands
Glanerbrug,gbr,52.21861267,6.974444388999999,Vijverstraat,16,7532 AM,Enschede,Netherlands
Goes,gs,51.498054499999995,3.89055562,Stationspark,29A,4462 DZ,Goes,Netherlands
Goor,go,52.23027802,6.584444522999999,Stationslaan,14-16,7471 AP,Goor,Netherlands
Gorinchem,gr,51.83388901,4.968333244,Stationsweg,17,4205 AA,Gorinchem,Netherlands
Gouda,gd,52.01750183,4.7044444080000005,Stationsplein,8A,2801 AK,Gouda,Netherlands
Gouda Goverwelle,gdg,52.01499939,4.740833282,Willensplein,129,2807 PA,Gouda,Netherlands
Gramsbergen,gbg,52.60916519,6.675833225,De Oostermaat,46,7783 BX,Gramsbergen,Netherlands
Grijpskerk,gk,53.25574033,6.30977869,Stationsstraat,29-30,9843 AE,Grijpskerk,Netherlands
Groningen,gn,53.21055603,6.564722061,Stationsplein,26,9726 AE,Groningen,Netherlands
Groningen Europapark,gerp,53.20480027,6.5854178,Europapad,??,9722,Groningen,Netherlands
Groningen Noord,gnn,53.2301469,6.5563172000000005,Kastanjelaan,??,9741,Groningen,Netherlands
Grou-Jirnsum,gw,53.08889008,5.822500229,A32,??,9001,Grou,Netherlands
Gulpen-Wijlre,wij,50.833056,5.8980559999999995,Parallelweg,7,6321,Wijlre,Netherlands
Haarlem,hlm,52.38777924,4.638333321,Stationsplein,1-3,2011,Haarlem,Netherlands
Haarlem Spaarnwoude,hlms,52.38277817,4.673055649,Camera Obscuraweg,??,??,Haarlem,Netherlands
